Sno,Tweet,Date,Likes,RTs,Sentiments
23,Shikhar Dhawan 1st Indian and 9th overall to register a century in 100th ODI match Previous highest by an Indian,2018-02-10 13:39:41,5,0,-1
24,Century in 100th ODI Gordon Greenidge Chris Cairns Mohammad Yousuf Kumar Sangakkara Chris Gayle Marcus Trescothick,2018-02-10 13:39:40,3,0,0
25,4th ODI After 34 0 Ov India 197 2 Shikhar Dhawan 104 100b Ajinkya Rahane 5 8b SAvIND,2018-02-10 13:39:40,4,0,0
26,4th ODI After 22 0 Ov India 128 1 Shikhar Dhawan 65 60b Virat Kohli 52 59b SAvIND,2018-02-10 12:44:23,3,0,0
27,4th ODI After 16 0 Ov India 80 1 Shikhar Dhawan 44 46b Virat Kohli 25 37b SAvIND,2018-02-10 12:14:13,2,0,0
28,3rd ODI Australia win by seven wickets and are in the Twenty20 Tri Series final Australia 3 for 138 Maxwell 39 S,2018-02-10 12:14:12,2,0,1
29,4th ODI India77 1 14 6 50 ov S Dhawan 42 41 imVKohli 25 36 L Ngidi 2 6 0 14 0 CH Morris 2 0 10 0 SAvIND,2018-02-10 12:09:14,3,1,0
30,Rohit Sharma who made 3 double centuries in ODIs at home could not score 50 in first 4 ODIs against South Africa in South Africa SAvIND,2018-02-10 11:34:23,0,0,1
31,Wondering why wondering Proteas are wearing the Pink jersey It is to raise awareness about breast cancer This yea,2018-02-10 11:16:41,3,0,-1
32,RT wins hearts with respectful gesture towards Indian Flag RT For Win hearts of ev,2018-02-10 11:06:57,0,66,1
33,Congratulations to SDhawan25 who today plays his 100th ODI for India SAvIND,2018-02-10 11:04:20,5,1,0
34,RT Since January 2016 Most ODI Runs Kohli Most ODI 100s Kohli Best ODI Avg Kohli Most T20I runs Kohli Most T20I 5,2018-02-10 10:47:19,0,55,1
35,SA XI H Amla A Markram C A de Villiers J Duminy H Klaasen W D Miller C Morris A Phehlukwayo K Rabada M Morkel L Ngidi SAvIND,2018-02-10 10:44:33,0,0,0
36,IND XI R Sharma S Dhawan V Kohli C A Rahane H Pandya M Dhoni W S Iyer B Kumar K Yadav J Bumrah Y Chahal SAvIND,2018-02-10 10:44:33,0,0,0
37,RSA v Ind 4th ODI India win the toss and opt to bat India Iyer comes in for Jadhav SA AB in for Zondo Morkel in for Tahir SAvInd,2018-02-10 10:44:32,0,0,1
38,South Africa has not lost an odi in pink outfit 2013 defeated Pakistan 2013 defeated India 2015 defeated West Indi,2018-02-10 10:14:26,3,0,-1
39,Today Shikhar Dhawan will be playing his 100th ODI Do you know Highest score by Indian batsman on 100th ODI,2018-02-10 10:14:25,2,0,0
40,Since January 2016 Most ODI Runs Kohli Most ODI 100s Kohli Best ODI Avg Kohli Most T20I runs Kohli Most T20,2018-02-10 10:14:25,6,0,1
41,Stats round up before Ind vs SA 4th ODI Should India win in any of the three ODIs remaining it will record its f,2018-02-10 10:04:18,6,0,1
42,Shahid Afridi Virat Kohli is a fantastic human being and an ambassador of cricket for his country just like I am,2018-02-10 10:04:18,2,0,1
43,Buttler s 46 leads England to 137 7 off their 20 overs at the MCG is it too low to defend for their first win of,2018-02-10 10:04:17,3,0,1
44,3rd Match Australia v England at Melbourne Feb 10 2018 Match scheduled to begin at 19 20 local time 08 20 GMT AUSvENG,2018-02-10 03:44:32,3,0,0
45,4th ODI South Africa v India at Johannesburg Feb 10 2018 Match scheduled to begin at 13 00 local time 11 00 GMT SAvIND,2018-02-10 03:39:15,4,0,0
46,SL 222 and 200 8 62 ov Ban 110 A Silva 58 94 Lakmal 7 22 T Islam 19 2 72 2 M Rahman 12 2 35 3 Last bat,2018-02-09 11:44:26,5,2,0
47,First time South Africa have lost first three matches of any series at home and 4th time overall Just before this,2018-02-09 11:09:18,5,0,1
48,Kohli is rewriting batting records of Tendulkar and captaincy records of likes of Ponting Dhoni By his retirement,2018-02-09 11:09:18,6,0,0
49,Shikhar Dhawan will be playing his 100th ODI tommorrow at the Wanderers His tally of 4200 runs after 99 ODIs is be,2018-02-09 11:09:17,7,1,0
50,I want to play this kind of cricket even when I am 34 35 That s why I train so much Because I am a guy who lik,2018-02-09 03:59:05,7,0,1
51,Virat Kohli s unbeaten 160 takes India to 303 6 before wrist spinners Yuzvendra Chahal and Kuldeep Yadav combine to,2018-02-08 08:54:17,20,0,0
52,The Best Wicket keeper India ever produced Dhoni SAvIND MSDhoni MSD400,2018-02-08 03:31:39,35,1,1
53,3rd ODI WICKET JP Duminy lbw b Yuzvendra Chahal 51 67b South Africa 95 4 21 5 Ovs SAvIND,2018-02-07 16:46:33,6,0,0
54,Virat Kohli became the first Indian to score 100 or more runs by running in an ODI innings and only the 5th batsman,2018-02-07 16:06:07,8,0,1
55,3rd ODI After 9 0 Ov South Africa 47 1 Aiden Markram 19 24b JP Duminy 27 28b SAvIND,2018-02-07 15:56:05,3,1,0
56,Innings Break IND 303 6 50 0 Ov vs South Africa Virat Kohli 160 159b 12x4 2x6 Bhuvneshwar Kumar 16 19b 1x4 0x6 SAvIND,2018-02-07 14:51:31,8,0,0
57,RT officialKohliFC India s run machine has done it again 34th ODI 100 What a player ImVKohli May this form of y,2018-02-07 14:21:27,7,1,0
58,RT India s run machine has done it again 34th ODI 100 What a player May this form of yours go on and on SAv,2018-02-07 14:18:20,0,45,0
59,Twenty20 Internationals 2nd Match Australia v England at Hobart Feb 7 2018 England 155 9 20 20 ov Australi,2018-02-07 13:01:59,7,0,0
60,3rd ODI After 25 0 Ov India 150 2 Virat Kohli 63 75b Ajinkya Rahane 6 6b SAvIND,2018-02-07 12:56:54,4,0,0
61,3rd ODI WICKET Shikhar Dhawan c Aiden Markram b JP Duminy 76 63b India 140 2 23 1 Ovs SAvIND,2018-02-07 12:56:53,0,0,0
62,Match 2 After 15 0 Ov Australia 117 4 Glenn Maxwell 67 44b Travis Head 5 11b AUSvENG,2018-02-07 11:51:22,1,0,0
63,3rd ODI After 9 0 Ov India 44 1 Shikhar Dhawan 24 19b Virat Kohli 19 29b SAvIND,2018-02-07 11:51:22,1,0,0
64,Match 2 WICKET Sam Billings c amp b Ashton Agar 10 9b England 122 5 14 1 Ovs AUSvENG,2018-02-07 09:51:13,1,0,0
65,WICKET Jason Roy c Andrew Tye b Kane Richardson 9 7 England 16 1 1 4 AusvEng Cricket,2018-02-07 08:56:10,2,0,0
66,Twenty20 Internationals 2nd Match Australia v England at Hobart Match scheduled to begin at 19 40 local time 08 40 GMT AUSvENG,2018-02-07 03:01:10,2,0,0
67,3rd ODI South Africa v India at Cape Town Feb 7 2018 Match scheduled to begin at 13 00 local time 11 00 GMT SAvIND,2018-02-07 02:56:15,5,0,0
68,Latest ICC T20 Ranking 1 Pakistan 2 New Zealand 3 India 4 England 5 West Indies 6 South Africa 7 Australia 8 AFGHANISTAN 9 Sri Lanka,2018-02-07 02:56:15,12,0,1
69,Yuvi paaji gave a lot of guidance when he was at the NCA He told me things about on and off the field he gave,2018-02-06 13:36:43,11,1,0
70,India currently has identical number of rating points in all 3 formats in ICC rankings Tests 121 points 1 rank,2018-02-06 13:36:42,6,0,0
71,Kohli is someone who will go for a win come what may He does not have a negative bone in his body he always tal,2018-02-06 09:31:05,9,1,1
72,Quinton de Kock has been ruled out of the remainder of the ODIs amp the T20s against India after suffering a left wri,2018-02-06 03:01:12,8,0,0
73,That week during the IPL auction was a bit stressful but credit to the boys once that was done they came back to,2018-02-06 03:01:11,10,0,0
74,Rahul Dravid Pakistan had a very talented left arm fast bowler Shaheen Shah Afridi who bowled very well in the tou,2018-02-06 02:56:08,10,0,1
75,Rahul Dravid It s exciting as a coach to see good talent We have some great talent and Pakistan were also very ap,2018-02-06 02:56:07,9,2,1
76,South Africa s mysery Before 1st ODI ABD injured Before 2nd ODI Du Plessis injured Before 3rd ODI De Kock injured What more SAvInd,2018-02-05 13:41:14,7,0,1
77,India have beaten South Africa by nine wickets at Centurion to go 2 0 up in the ODI series Shikhar Dhawan 51 a,2018-02-04 14:00:55,19,0,1
78,Largest wins for India in ODIs By balls remaining 231 v Kenya Bloemfontein 2001 187 v U A E Perth 2015 181,2018-02-04 13:55:14,8,0,-1
79,Wins with most balls remaining against SA in SA 177 by Ind Centurion 2018 Target 119 153 by Aus Cape Town 2,2018-02-04 13:55:13,3,0,1
80,Chahal s figures in last 6 matches for India ODIs v SL 3 60 amp 3 46 T20Is v SL 4 23 amp 4 52 ODIs v SA 2 45 amp 5 2,2018-02-04 13:55:13,3,0,0
81,India beat South Africa with 177 balls to spare their biggest ODI win ever vs a Test playing side outside India,2018-02-04 13:50:41,4,0,1
82,2nd ODI South Africa 118 32 2 50 ov India 119 1 20 3 50 ov India won by 9 wickets with 177 balls remaining SAvIND,2018-02-04 13:50:40,4,0,0
83,2nd ODI South Africa 118 32 2 50 ov,2018-02-04 13:50:40,2,0,0
84,2nd ODI South Africa 118 32 2 50 ov,2018-02-04 13:45:23,2,0,0
85,LUNCH has been taken in Centurion with India needing 2 runs to win Kohli can t even believe it India 117 1 19 overs SAvInd,2018-02-04 12:01:00,7,0,1
86,Chahal s 5 for 22 are the second best figures by a spinner in South Africa Only Nicky Boje s 5 21 v Aus Cape Town 2002 is better SAvInd,2018-02-04 11:05:13,7,0,1
87,2nd ODI WICKET Rohit Sharma c Morne Morkel b Kagiso Rabada 15 17b India 26 1 3 5 Ovs SAvIND,2018-02-04 10:55:03,6,0,0
88,1st Test Bangladesh v Sri Lanka at Chittagong Jan 31 Feb 4 2018 Bangladesh 513 and 307 5 100 ov Sri Lanka 7,2018-02-04 09:55:16,6,0,0
89,2nd ODI After 24 0 Ov South Africa 92 4 JP Duminy 17 24b Khaya Zondo 23 37b SAvIND,2018-02-04 09:45:20,4,0,0
90,U19 World Cup winning captains facing each other as captain in ODIs Virat Kohli amp Sarfraz Ahmed 2 matches in CT 2,2018-02-04 09:15:30,6,0,1
91,Last ODI India stopped South Africa s 17 Consecutive ODI wins streak at home This ODI India stopped Hashim Amla,2018-02-04 09:15:29,8,1,1
92,2nd ODI After 14 0 Ov South Africa 53 4 JP Duminy 0 0b Khaya Zondo 1 1b SAvIND,2018-02-04 09:05:20,2,0,0
93,2nd ODI WICKET Hashim Amla c MS Dhoni b Bhuvneshwar Kumar 23 32b South Africa 39 1 9 4 Ovs SAvIND,2018-02-04 08:45:14,2,0,0
94,2nd ODI South Africa v India at Centurion Feb 4 2018 Match scheduled to begin at 10 00 local time 08 00 GMT SAvIND,2018-02-04 02:35:18,13,1,0
95,BCCI announces prize money for victorious India U19 team Mr Rahul Dravid Head Coach India U19 INR 50 lakhs M,2018-02-03 14:25:15,13,1,0
96,RT officialKohliFC Great work by the U 19 team to remain undefeated in the WC Truly deserving winners Your work,2018-02-03 14:25:15,14,0,1
97,RT Great work by the U 19 team to remain undefeated in the WC Truly deserving winners Your work has just begun enjoy t,2018-02-03 14:16:50,0,37,1
98,Twenty20 Internationals 1st Match Australia v New Zealand at Sydney Feb 3 2018 New Zealand 117 9 20 20 ov A,2018-02-03 12:40:09,7,0,1
99,Twenty20 Internationals 1st Match Australia v New Zealand at Sydney Feb 3 2018 New Zealand 117 9 20 20 ov A,2018-02-03 12:40:08,4,0,1
100,UPDATE Australia 110 3 after 23 overs Uppal 28 Merlo 21 U19CWC AUSvIND,2018-02-03 02:50:32,4,0,1
101,Faf du Plessis Ruled Out Of SAvIND ODI And T20I Series Due To Finger Injury Behardien And Klaasen Taken Into The,2018-02-03 02:50:31,4,0,-1
102,Australia Under 19s 90 3 19 50 ov J Merlo 12 24 P Uppal 17 25 KL Nagarkoti 4 0 25 1 Shiva Singh 5 0 12 0 U19CWC AUSvIND,2018-02-03 02:35:22,0,0,0
103,Do you agree MSDhoni is the best finisher Dhoni SAvIND,2018-02-02 18:15:59,54,3,1
104,Ahead of the U19CWC final Prithvi Shaw Shubman Gill and Ishan Porel evaluate each other s performaces and India s,2018-02-02 15:45:34,9,0,-1
105,Virat Kohli is making chases look ridiculously easy The century he scored yesterday would have been a career best,2018-02-02 15:45:33,7,0,1
106,Virat Kohli has scored at least 1 ODI hundred in each country he has played in He is the 3rd batsman to score cent,2018-02-02 14:15:40,6,0,-1
107,Virat Kohli s ODI average is now above 50 in 7 out of 9 countries he has played in In Australia 50 05 In Banglades,2018-02-02 02:31:12,11,0,-1
108,ODI centuries in most countries first 10 full members 9 Tendulkar Jayasuriya KOHLI Tendukar missed in West I,2018-02-02 02:31:12,9,0,1
109,Kohli s ODI centuries 14 in India 5 in B desh 4 in Aus SL 2 in WI 1 in Eng NZ SA Zim Hasn t played in any other country SAvInd,2018-02-02 02:31:11,7,0,-1
110,Also yesterday in the Durban ODI only the 11th time in history both 3 batsmen managed to make 100s the first,2018-02-02 02:10:30,7,1,0
111,Yesterday in the Durban ODI only the 4th time in history both captains managed to make three figures scores The,2018-02-02 02:10:29,11,1,0
112,1st ODI India 270 for 4 Kohli 112 Rahane 79 beat South Africa 269 for 8 Du Plessis 120 Morris 37 Kuldeep 3 34 by six wickets SAvIND,2018-02-02 02:10:29,6,0,0
113,1st ODI After 19 0 Ov India 101 2 Virat Kohli 29 37b Ajinkya Rahane 12 18b SAvIND,2018-02-01 16:45:32,6,1,0
114,1st ODI After 12 0 Ov India 66 1 Shikhar Dhawan 35 28b Virat Kohli 9 14b SAvIND,2018-02-01 16:11:34,1,0,0
115,Durban 1 Feb 2017 Du Plessis scored century v Sri Lanka Durban 1 Feb 2018 Du Plessis scores a century v India SAvInd,2018-02-01 15:15:43,0,0,0
116,Highest targets chased down by India in SA 274 v Pak Centurion 2003 241 v Zim Benoni 1997 226 v Ken Cape Town,2018-02-01 15:15:43,4,0,-1
117,Innings Break RSA 269 8 50 Ovs du Plessis 120 112 Chris Morris 37 43 Kuldeep Yadav 3 34 Chahal 2 45 SAvIND Cricket,2018-02-01 15:05:18,2,0,0
118,Faf du Plessis scores in last 11 innings across all 3 formats 81 135 0 91 62 0 63 48 8 2 120 SAvInd,2018-02-01 15:00:43,1,0,0
119,1st ODI After 42 0 Ov South Africa 210 6 Faf du Plessis 89 91b Andile Phehlukwayo 1 7b SAvIND,2018-02-01 14:10:42,1,0,0
120,1st ODI After 37 0 Ov South Africa 183 5 Faf du Plessis 79 82b Chris Morris 21 29b SAvIND,2018-02-01 13:50:20,3,0,0
121,1st ODI After 30 0 Ov South Africa 138 5 Faf du Plessis 55 61b Chris Morris 1 8b SAvIND,2018-02-01 13:15:11,1,0,0
122,India s last 3 ODIs in Durban 2013 Lost by 134 runs target 281 2011 Lost by 135 runs target 290 2006 Lost by,2018-02-01 12:20:10,1,0,0
123,South Africa are unbeaten in their last 17 ODIs at home India haven t won against South Africa at Durban in 7 ODI,2018-02-01 12:20:09,1,0,0
124,One of the two South African openers scored hundreds in their last four ODI matches against India at home Hashim A,2018-02-01 12:15:32,5,0,0
125,1st ODI WICKET Quinton de Kock lbw b Yuzvendra Chahal 34 49b South Africa 83 2 15 0 Ovs SAvIND,2018-02-01 12:15:32,0,0,0
126,1st ODI After 12 0 Ov South Africa 59 1 Quinton de Kock 24 39b Faf du Plessis 17 16b SAvIND,2018-02-01 12:00:23,1,0,0
127,RT officialKohliFC Good Morning Everyone Today Match Day IndVSa Waiting for viratkohli Dhamaka All the Bes,2018-02-01 03:55:11,5,0,1
128,RT Good Morning Everyone Today Match Day IndVSa Waiting for viratkohli Dhamaka All the Best TeamIndia INDvSA ht,2018-02-01 03:48:42,0,24,1
129,We are one of the few teams or probably the only team in world cricket to be blessed with two wristspinners Virat Kohli SAvIND,2018-02-01 03:10:12,5,0,-1
130,1st ODI South Africa v India at Durban Feb 1 2018 Match scheduled to begin at 13 00 local time 11 00 GMT SAvIND,2018-02-01 03:10:12,4,0,0
131,RT officialKohliFC Ajinkya Rahane strong contender for No 4 slot in 2019 ICC World Cup imVkohli SAvIND INDvSA,2018-01-31 15:55:17,7,0,1
132,RT Ajinkya Rahane strong contender for No 4 slot in 2019 ICC World Cup SAvIND INDvSA,2018-01-31 15:52:28,0,38,1
133,Ab de Villiers has been ruled out of the first three ODIs against India with a finger injury The selectors will no,2018-01-31 15:10:11,4,0,1
134,RT Practice Session Ceptionkohli INDvSA Viratkohli,2018-01-31 14:17:54,0,22,0
135,Most runs on Day One by BCBtigers 374 v SL Chittagong 2018 365 v WI Khulna 2012 LOST 355 v Aus Fatullah,2018-01-31 11:55:27,3,0,1
136,1st Test Bangladesh 374 4 90 ov Mominul Haque 175 203 Mahmudullah 9 20 RAS Lakmal 17 3 43 2 HMRKB Herath 2,2018-01-31 11:50:35,4,1,0
137,1st Test After 63 0 Ov Bangladesh 270 2 Mominul Haque 122 131b Mushfiqur Rahim 51 122b BANvSL,2018-01-31 09:00:32,4,0,0
138,Onthisday in 2016 India beat Australia to win the T20 series 3 0 also become first team to whitewash Australia in Australia INDvAUS,2018-01-31 08:55:12,3,0,1
139,Only the second instance of Bangladesh s top 4 all scoring 40 in the same Test innings Tamim Imrul Mominul Mu,2018-01-31 08:55:11,6,0,0
140,Its not that I don t try much in Test cricket I give the same effort in all the formats that I play but sometim,2018-01-30 15:30:29,9,0,1
141,AB de Villiers has been ruled out of the first three ODIs against India due to finger injury SAvIND,2018-01-30 14:15:38,6,0,1
142,Shakib Al Hasan will miss a home Test tomorrow for the first time in his 10 years career The all rounder is nursin,2018-01-30 13:45:28,5,0,1
143,Most appearances in Under 19 World Cup finals 6 India 5 Pakistan Australia 3 South Africa 2 West Indies 1 Engla,2018-01-30 13:45:27,4,0,1
144,JUST IN The pitch used for the third Test between South Africa and India at the Wanderers Stadium has been rated p,2018-01-30 13:40:12,3,0,0
145,Shubman Gill in this U19CWC 63 90 86 102 341 runs at ave of 170 50 His overall U 19 career 14 Inns 1180,2018-01-30 11:55:26,4,1,0
146,India in this U19CWC v Aus Won by 100 runs v PNG Won by 10 wkts v Zim Won by 10 wkts v Ban Won by 131 runs,2018-01-30 11:55:26,7,0,0
147,India in recent ICC tournament 2015 WC Semi finals 2016 U19 Runner up 2016 WT20 Semi finals 2017 CT Runner up,2018-01-30 06:15:41,8,0,0
148,U19 World Cup finals 1988 Aus vs Pak 1998 Eng vs NZ 2000 Ind vs SL 2002 Aus vs SA 2004 Pak vs WI 2006 Pak vs,2018-01-30 05:45:19,14,1,0
149,Shubman Gill Won Man of the match vs Zim Won Man of the match vs Ban Won Man of the match vs Pak Three in Last thr,2018-01-30 05:35:25,4,0,0
150,India in the last eight months have made it to the final of each of the three ICC tournaments Champions Trophy W,2018-01-30 05:35:24,3,0,0
151,U19CWC Semi Final IND 272 9 50 S Gill 102 M Kalra 47 PAK 69 10 29 3 Rohail 18 Saad 15 Porel 4 17 IND U19s Won By 203 Runs INDvPAK,2018-01-30 05:35:24,8,0,0
152,This will be the 2nd time India and Australia will play against each other in under 19 world cup finals Last time,2018-01-30 05:35:23,4,2,-1
153,Pak U19 vs Ind U19 INPROGRESS Pakistan U19 51 8 25 3 ov India U19 272 9 50 ov Pakistan U19 need 222 runs INDvPAK U19CWC U19WorldCup,2018-01-30 03:40:16,1,0,0
154,RT They are Not Enemies Sportsman spirit U19CWC INDvPAK PAKvIND ViratKohli,2018-01-30 03:11:47,0,297,0
155,RT officialKohliFC They are Not Enemies Sportsman spirit U19CWC INDvPAK PAKvIND ViratKohli,2018-01-30 03:10:13,17,0,0
156,Wicket number 4 for Ishan Porel Ammad Alam becomes his latest victim Pakistan 28 4 11 1 overs PAKvIND U19CWC,2018-01-30 02:50:24,4,0,1
157,Pakistan are set 273 by India to qualify for the final If they do it it will be Pakistan s highest ever and overa,2018-01-30 02:50:23,3,0,0
158,That s the end of the innings with Shubman Gill getting to his 100 on the second last ball He finishes on 102 and,2018-01-30 02:50:23,7,0,0
159,U 19 WC Semi Final Pakistan lose their 2nd wicket as Imran Shah departs vs India Pak 13 2 PakvsInd PAKvIND U19CWC,2018-01-30 02:20:20,5,0,0
160,Shivam Mavi holds his cool for a boundary catch India strike early Pakistan 11 for 1 in four overs chasing 273 INDvPAK,2018-01-30 02:05:19,3,0,1
161,It s going to be a power packed early morning for both India and Pakistan Who do you think is going to win th,2018-01-29 17:40:16,1,0,1
162,Rajasthan Royals made the two most expensive bids in IPLAuction2018 Stokes 12 5Cr amp Unadkat 11Cr If Dravid,2018-01-29 15:31:26,5,1,0
163,Mitchell Santner having good time yesterday CSK bought him and today he becomes World number one bowler in ICC T20I ranking IPL2018,2018-01-29 15:25:05,5,0,1
164,Latest ICC ODI ranking 1 South Africa 2 India 3 England 4 New Zealand 5 Australia 6 Pakistan 7 Bangladesh 8 Sri Lanka 9 West Indies,2018-01-29 15:25:05,8,0,1
165,MS Dhoni Suresh Raina Faf du Plessis and Murali Vijay close your eyes and think of these men playing IPL and y,2018-01-29 10:10:07,4,1,0
166,kalyansingh3 Ghana ghana dhanyawaad Kalyan sa,2018-01-29 09:40:15,0,0,1
167,Vegansportlover Yup True All the best to you too,2018-01-29 09:40:14,1,0,1
168,gulu1959 Ha ha will always be behind,2018-01-29 09:40:14,0,0,-1
169,Geoff Marsh Pune Warriors India Coach had bought his son Mitchell Marsh in IPL 2011 auction,2018-01-29 09:40:13,0,0,0
170,My two cents on the performance of franchises in auction and how the teams stack up Agree Disagree Your thoughts,2018-01-29 08:10:26,2,0,0
171,CashThatBaby He didn t register for IPL as he wanted to concentrate on his Test career,2018-01-29 08:10:26,1,0,0
172,kuntalknandi3 Unsold,2018-01-29 08:10:26,1,0,0
173,FYI this list has players shortlisted for the final IPL auction but didn t come up as none of the teams were inter,2018-01-29 08:10:25,1,0,0
174,RT rameshsrivats Good satisfactory Sunday time waste has been done watching the IPL Auction and then going throug,2018-01-29 08:10:25,0,0,1
175,A few notable names that didn t come up for bids in the IPLAuction2018 Dwayne Smith M Samuels D Sammy Darren Bravo,2018-01-29 08:10:24,2,0,1
176,statanalyst Is it beacuse of Mehdi Hasan,2018-01-29 08:10:24,0,0,0
177,20 000 followers Thank you to all,2018-01-29 08:10:24,1,0,0
178,Capped players bought in this auction who have never played IPL before Mitchell Santner Moeen Ali Evin Lewis Muje,2018-01-29 08:10:23,1,0,0
179,FreakInCarnate Andre Russell has never captained in any T20 match in his career,2018-01-29 08:10:23,1,0,0
180,Onthisday in 2006 0 4 Pathan to Butt OUT 0 5 Pathan to Younis OUT 0 6 Pathan to Yousuf OUT Irfan Pathan become,2018-01-29 08:10:22,1,0,0
181,News Hasan Ali is no longer number one bowler in the ODI Rankings He has fallen to number five as Imran Tahir mov,2018-01-29 08:10:22,2,0,0
182,Likely to lead the side CSK Dhoni SRH Warner RCB Kohli KKR Karthik Robin Lynn KXIP Yuvraj Ashwin DD Gambhir,2018-01-29 08:10:22,4,1,0
183,Which team win the vivo IPL 11 CSK RCB MI KKR DD RR KXIP SRH IPL2018 IPL IPL11 VivoIPL VivoIPL2018,2018-01-29 08:10:21,2,0,1
184,5th ODI Australia v England at Perth Jan 28 2018 England 259 47 4 50 ov,2018-01-29 08:10:21,0,0,0
185,MI Squad Rohit Hardik Pollard Bumrah Chahar Ankul Tajinder Markande Mohsin Cutting Behrendorff Sangwan,2018-01-29 08:10:21,0,0,-1
186,RR Squad Rahane Smith Birla Midhun Binny Dhawal Short Buttler Stokes Laughlin Saxena Gopal Anureet Un,2018-01-29 08:10:20,2,0,0
187,KKR Squad Gill Nagarkoti Mavi Javon Ishank Karthik Starc Delpott Lynn Chawla Uthappa Vinay Wankhade K,2018-01-29 08:10:20,0,0,0
188,KXIP Squad Ashwin Axar Karun Miller Yuvi Finch Gayle Stoinis Mayank Manoj Mohit Zadran Sran Tye Nath,2018-01-29 08:10:19,1,0,0
189,RCB Squad Kohli AB Sarfraz Baz Woakes Grandhomme Moeen De Kock Umesh Chahal Vohra Kulwant Aniket Sain,2018-01-29 08:10:19,1,1,0
190,Big News KXIP bought Chris Gayle for the base Price of 2Cr IPLAuction,2018-01-29 08:00:35,1,0,-1
191,DD Squad Gambhir Prithvi Abhishek Manjot Munro Trent Roy Mishra Nadeem Naman Maxwell Harshal Tewatia,2018-01-29 08:00:35,0,0,0
192,SRH Squad Warner Bhuvi Nabi Kane Saha Dhawan Jordan Manish Goswami Yusuf Kaul Bipul Baby Carols Mehd,2018-01-28 10:20:04,2,0,0
193,CSK Squad Dhoni Vijay Lungi Raina Jadeja Bravo Faf Kedar Rayudu Karn Tahir Thakur Santner Watson Jagad,2018-01-28 10:15:27,3,0,0
194,Unsold players Gayle Root Amla Malinga Vijay Hazlewood Billings Guptill Johnson Southee Badree Faulkner,2018-01-28 10:10:16,0,0,0
195,ChennaiIPL in IPLAuction2018 Day 1 Bought 8 players Ave age 34 Yrs Ave price 3 75 Cr Day 2 Bought 8 players,2018-01-28 10:10:15,3,0,0
